date,open,high,low,close,volume,dividends,stock splits
2024-08-06 13:35:31.004814,4120.0,4175.18,4054.71,4120.0,4422540,0.0,1.0
2024-08-07 13:35:31.004814,4107.57,4246.25,4166.48,4210.43,4562064,0.0,1.0
2024-08-08 13:35:31.004814,4221.24,4421.43,4327.41,4359.45,4713886,0.0,1.0
2024-08-09 13:35:31.004814,4344.0,4410.38,4284.61,4333.68,1445845,0.0,1.0
2024-08-10 13:35:31.004814,4312.12,4373.84,4239.22,4316.15,1647944,0.0,1.0
2024-08-11 13:35:31.004814,4297.45,4499.31,4397.65,4445.3,3185889,0.0,1.0
2024-08-12 13:35:31.004814,4441.75,4607.84,4454.29,4521.76,3586547,0.0,1.0
2024-08-13 13:35:31.004814,4536.19,4655.94,4526.06,4601.22,3463547,0.0,1.0
2024-08-14 13:35:31.004814,4586.74,4670.49,4539.23,4614.81,3076773,0.0,1.0
2024-08-15 13:35:31.004814,4612.89,4709.96,4599.2,4673.06,1930556,0.0,1.0
2024-08-16 13:35:31.004814,4681.04,4845.55,4740.13,4821.39,2232073,0.0,1.0
2024-08-17 13:35:31.004814,4835.26,4895.25,4815.96,4844.29,1227612,0.0,1.0
2024-08-18 13:35:31.004814,4849.8,4986.28,4798.4,4895.51,1462233,0.0,1.0
2024-08-19 13:35:31.004814,4888.49,4930.25,4810.49,4894.01,4940327,0.0,1.0
2024-08-20 13:35:31.004814,4906.31,4903.77,4759.07,4822.07,3083955,0.0,1.0
2024-08-21 13:35:31.004814,4799.36,4916.65,4845.17,4873.04,4356543,0.0,1.0
2024-08-22 13:35:31.004814,4869.96,5048.13,4910.65,4955.79,2484175,0.0,1.0
2024-08-23 13:35:31.004814,4950.19,4930.67,4847.31,4891.48,4667252,0.0,1.0
2024-08-24 13:35:31.004814,4909.8,5138.32,5014.7,5062.22,1989806,0.0,1.0
2024-08-25 13:35:31.004814,5044.09,5292.38,5183.01,5229.96,2887675,0.0,1.0
2024-08-26 13:35:31.004814,5207.27,5323.75,5188.47,5220.16,2041361,0.0,1.0
2024-08-27 13:35:31.004814,5206.17,5242.78,5123.75,5206.97,2473515,0.0,1.0
2024-08-28 13:35:31.004814,5215.97,5248.5,5168.82,5208.01,1676319,0.0,1.0
2024-08-29 13:35:31.004814,5192.99,5127.05,4982.2,5052.65,3860773,0.0,1.0
2024-08-30 13:35:31.004814,5063.75,5070.7,4903.38,5002.82,2163105,0.0,1.0
2024-08-31 13:35:31.004814,4986.17,4993.69,4901.69,4962.17,1335923,0.0,1.0
2024-09-01 13:35:31.004814,4978.34,4879.13,4778.1,4836.43,3807855,0.0,1.0
2024-09-02 13:35:31.004814,4859.93,4745.22,4672.07,4709.22,4245141,0.0,1.0
2024-09-03 13:35:31.004814,4709.13,4629.98,4556.04,4596.89,1667901,0.0,1.0
2024-09-04 13:35:31.004814,4609.95,4711.41,4587.46,4619.43,3149636,0.0,1.0
2024-09-05 13:35:31.004814,4637.58,4672.36,4596.43,4638.3,2147606,0.0,1.0
2024-09-06 13:35:31.004814,4646.23,4870.8,4700.32,4777.46,2662836,0.0,1.0
2024-09-07 13:35:31.004814,4765.22,4668.6,4592.19,4635.89,4576472,0.0,1.0
2024-09-08 13:35:31.004814,4627.24,4769.23,4633.79,4727.14,1396733,0.0,1.0
2024-09-09 13:35:31.004814,4709.3,4729.27,4568.34,4659.96,3177456,0.0,1.0
2024-09-10 13:35:31.004814,4643.28,4870.13,4777.26,4821.76,2522249,0.0,1.0
2024-09-11 13:35:31.004814,4802.22,4945.6,4819.03,4897.92,2343843,0.0,1.0
2024-09-12 13:35:31.004814,4893.08,4872.66,4774.07,4818.0,4551871,0.0,1.0
2024-09-13 13:35:31.004814,4809.49,4829.28,4665.14,4751.61,2337076,0.0,1.0
2024-09-14 13:35:31.004814,4774.04,4824.5,4678.0,4766.01,1267902,0.0,1.0
2024-09-15 13:35:31.004814,4780.92,4781.02,4679.72,4755.79,2103639,0.0,1.0
2024-09-16 13:35:31.004814,4774.31,4720.56,4561.06,4651.95,3790450,0.0,1.0
2024-09-17 13:35:31.004814,4635.08,4571.93,4458.42,4543.83,1866571,0.0,1.0
2024-09-18 13:35:31.004814,4560.97,4594.74,4534.81,4566.01,2723181,0.0,1.0
2024-09-19 13:35:31.004814,4565.61,4594.68,4478.77,4547.01,2921411,0.0,1.0
2024-09-20 13:35:31.004814,4529.0,4712.0,4611.12,4634.65,3147426,0.0,1.0
2024-09-21 13:35:31.004814,4649.86,4604.47,4532.83,4574.55,3991387,0.0,1.0
2024-09-22 13:35:31.004814,4589.71,4616.97,4513.75,4565.22,2431705,0.0,1.0
2024-09-23 13:35:31.004814,4550.52,4454.08,4354.64,4396.75,2199548,0.0,1.0
2024-09-24 13:35:31.004814,4395.42,4333.83,4231.66,4291.46,2169606,0.0,1.0
2024-09-25 13:35:31.004814,4300.66,4269.07,4183.85,4209.19,4149104,0.0,1.0
2024-09-26 13:35:31.004814,4223.73,4371.27,4243.42,4288.7,4868005,0.0,1.0
2024-09-27 13:35:31.004814,4269.23,4376.8,4280.85,4317.34,1770305,0.0,1.0
2024-09-28 13:35:31.004814,4315.71,4304.75,4177.5,4260.11,4870695,0.0,1.0
2024-09-29 13:35:31.004814,4244.26,4352.14,4201.15,4272.73,2451952,0.0,1.0
2024-09-30 13:35:31.004814,4263.98,4407.91,4333.28,4380.63,2360659,0.0,1.0
2024-10-01 13:35:31.004814,4379.83,4471.09,4327.41,4391.29,3660177,0.0,1.0
2024-10-02 13:35:31.004814,4410.67,4454.6,4340.22,4428.63,3347775,0.0,1.0
2024-10-03 13:35:31.004814,4436.37,4485.9,4379.8,4447.7,1057365,0.0,1.0
2024-10-04 13:35:31.004814,4430.84,4689.9,4621.85,4647.19,1712840,0.0,1.0
2024-10-05 13:35:31.004814,4658.46,4658.11,4561.18,4625.24,4936906,0.0,1.0
